Person,1998,1999,2006,2008,2009,2010,2011,2012,2013,2014,2015,Total
Салий Ольга Леонидовна,,,,,,,,,,,1 950 996,1 950 996
Серегина Ольга Ивановна,,,,,,,,,,,839 652,839 652
Семенова Юлия Георгиевна,,,,,,,,,,,1 291 850,1 291 850
Сиротенко Галина Анатольевна,,,,,,,,,,,1 600 013,1 600 013
Соловьев Александр Евгеньевич,,,,,,,,,,,1 647 782,1 647 782
Сорокина Александра Николаевна,,,,,,,,,,,1 695 905,1 695 905
Сошникова Алла Николаевна,,,,,,,,,,,775 370,775 370
Стручалин Юрий Михайлович,,,,,,,,,,,3 090 808,3 090 808
Степанова Анастасия Юрьевна,,,,,,,,,,,777 111,777 111
Тебенькова Тамара Евгеньевна,,,,,,,,,,,644 313,644 313
Тыняева Наталья Викторовна,,,,,,,,,,,2 704 135,2 704 135
Филимонова Ольга Ивановна,,,,,,,,,,,757 190,757 190
Фирсанова Татьяна Васильевна,,,,,,,,,,,1 446 520,1 446 520
Хилькова Анастасия Станиславовна,,,,,,,,,,,910 277,910 277
Цехер Ольга Николаевна,,,,,,,,,,,686 803,686 803
Чеснокова Ирина Николаевна,,,,,,,,,,,966 931,966 931
Чеботарева Светлана Евгеньевна,,,,,,,,,,,4 068 829,4 068 829
Шатилова Галина Евгеньевна,,,,,,,,,,,1 435 259,1 435 259
Швейгольц Алла Рафаиловна,,,,,,,,,,,1 417 926,1 417 926
Шевченко Владимир Юрьевич,,,,,,,,,,,903 346,903 346
Юрина Ирина Александровна,,,,,,,,,,,710 437,710 437
Подкаминская Светлана Евгеньевна,,,,,,,,,,,2 702 526,2 702 526
Трифонов Виктор Николаевич,,,,,,,,,,2 619 400,2 613 413,5 232 813
Бабанян Саркис Сисакович,,,,,,,,,,2 265 965,1 931 464,4 197 430
Прошина Людмила Петровна,,,,,,,,,,4 203 454,3 668 818,7 872 272
Смирнова Лариса Анатольевна,,,,,,,,,,,3 396 831,3 396 831
Гараева Елена Диаровна,,,,,,,,,,2 760 814,2 900 096,5 660 910
Гусев Александр Константинович,,,,,,,,,,,852 781,852 781
Орехов Максим Игоревич,,,,,,,,,,,1 507 917,1 507 917
Ширнина Людмила Владимировна,,,,,,,,,,,2 555 404,2 555 404
Айгистов Марс Михайлович,,,,,,,,,,,1 332 012,1 332 012
Пахомов Вячеслав Анатольевич,,,,,,,,,,,1 691 992,1 691 992
Гавриков Алексей Владимирович,,,,,,,,,,,1 435 396,1 435 396
Голубцов Виктор Иванович,,,,,,,,,,,2 521 068,2 521 068
Колесникова Ольга Александровна,,,,,,,,,,,4 540 022,4 540 022
Панова Ольга Николаевна,,,,,,,,,,,1 411 067,1 411 067
Москалева Елена Сергеевна,,,,,,,,,,,1 057 495,1 057 495
Исаев Михаил Кузьмич,,,,,,,,,,,1 503 798,1 503 798
Царевский Евгений Павлович,,,,,,,,,,,4 354 869,4 354 869
Романова Елена Сергеевна,,,,,,,,,,,919 607,919 607
Лебедева Юлия Николаевна,,,,,,,,,,,795 868,795 868
Кучеренко Екатерина Михайловна,,,,,,,,,,,2 441 020,2 441 020
Парфенова Юлия Геннадиевна,,,,,,,,,,,1 145 051,1 145 051
Филина Лариса Евгеньевна,,,,,,,,,,,1 384 924,1 384 924
Огнева Вера Михайловна,,,,,,,,,,,198 000,198 000
Молчанова Наталья Николаевна,,,,,,,,,,,733 689,733 689
Горбачева Алла Александровна,,,,,,,,,,,738 715,738 715
Фонина Ксения Владимировна,,,,,,,,,,,1 040 644,1 040 644
Булкин Роман Сергеевич,,,,,,,,,,,868 131,868 131
Тавлеева Оксана Николаевна,,,,,,,,,,,506 447,506 447
Воробьев Эдуард Николаевич,,,,,,,,,,,2 776 209,2 776 209
Овчарук Елена Викторовна,,,,,,,,,,,942 759,942 759
Епремян Арам Самвелович,,,,,,,,,,,575 562,575 562
Ковкова Юлия Алексеевна,,,,,,,,,,,824 336,824 336
Чернышова Надежда Владимировна,,,,,,,,,,,3 220 774,3 220 774
Ждакаева Людмила Ивановна,,,,,,,,,,,1 201 268,1 201 268
Фонина Екатерина Сергеевна,,,,,,,,,,,1 112 074,1 112 074
Черкашина Оксана Григорьевна,,,,,,,,,,,1 448 199,1 448 199
Кожемякин Андрей Михайлович,,,,,,,,,,,1 481 879,1 481 879
Романов Андрей Сергеевич,,,,,,,,,,,800 760,800 760
Тимаков Леонид Алексеевич,,,,,,,,,,,769 918,769 918
Исаева Елизавета Алексеевна,,,,,,,,,,,756 769,756 769
Николаев Андрей Петрович,,,,,,,,,,,1 354 104,1 354 104
Ломовский Андрей Валерьевич,,,,,,,,,,,989 075,989 075
Картавцев Николай Леонидович,,,,,,,,,,,1 067 087,1 067 087
Благов Дмитрий Александрович,,,,,,,,,,,11 812 638,11 812 638
Бандурин Василий Алексеевич,,,,,,,,,,,350 000,350 000
Кухтикова Оксана Сергеевна,,,,,,,,,,,1 484 542,1 484 542
Демичева Наталия Владимировна,,,,,,,,,,,1 456 905,1 456 905
Скудина Ольга Викторовна,,,,,,,,,,,2 570 009,2 570 009
Дудочкин Юрий Николаевич,,,,,,,,,,,1 387 011,1 387 011
Егорова Анна Александровна,,,,,,,,,,,2 000 739,2 000 739
Вишнякова Наталья Александровна,,,,,,,,,,,1 885 314,1 885 314
Смирнова Анна Сергеевна,,,,,,,,,,,482 160,482 160
Семенов Иван Витальевич,,,,,,,,,,,1 326 000,1 326 000
Гандаев Александр Абуталимович,,,,,,,,,,,607 248,607 248
Эрнст Светлана Анатольевна,,,,,,,,,,,2 494 161,2 494 161
Горбунова Полина Валерьевна,,,,,,,,,,,404 614,404 614
Клочков Александр Владимирович,,,,,,,,,,,1 425 495,1 425 495
Гасанов Магомед-Загир Гасанович,,,,,,,,,,,770 416,770 416
Журбенко Георгий Сергеевич,,,,,,,,,,,658 546,658 546
Павлов Юрий Николаевич,,,,,,,,,,,1 401 923,1 401 923
Жовтун Марина Николаевна,,,,,,,,,,,961 852,961 852
Мартиросян Артур Гагикович,,,,,,,,,,,775 051,775 051
Ижак Лариса Анатольевна,,,,,,,,,,,1 253 654,1 253 654
Сюсель Сергей Григорьевич,,,,,,,,,,,1 242 450,1 242 450
Иванов Александр Александрович,,,,,,,,,,,1 140 467,1 140 467
Кичигина Ирина Игоревна,,,,,,,,,,,976 173,976 173
Ершова Мария Владимировна,,,,,,,,,,,793 958,793 958
Сошина Раиса Николаевна,,,,,,,,,,,1 618 263,1 618 263
Кашуба Юрий Михайлович,,,,,,,,,,,1 612 022,1 612 022
Гусев Сергей Васильевич,,,,,,,,,,,1 349 126,1 349 126
Ключевской Павел Алексеевич,,,,,,,,,,,711 843,711 843
Колодка Валерий Антонович,,,,,,,,,,,1 477 358,1 477 358
Юшкин Владимир Федорович,,,,,,,,,,,1 388 591,1 388 591
Авчинников Сергей Леонтьевич,,,,,,,,,,,1 809 529,1 809 529
Васильева Виктория Сергеевна,,,,,,,,,,,1 196 413,1 196 413
Мукосеев Алексей Николаевич,,,,,,,,,,,1 657 184,1 657 184
Юровская Мария Андреевна,,,,,,,,,,,617 748,617 748
Кандрашина Татьяна Викторовна,,,,,,,,,,,1 066 802,1 066 802
Бударина Ольга Алексеевна,,,,,,,,,,,1 145 605,1 145 605
Монин Михаил Владимирович,,,,,,,,,,,921 607,921 607
Захарова Татьяна Аркадьевна,,,,,,,,,,,2 020 043,2 020 043
Константинова Ольга Сергеевна,,,,,,,,,,,1 298 941,1 298 941
Маркина Елена Александровна,,,,,,,,,,,822 311,822 311
Ильина Татьяна Александровна,,,,,,,,,,,1 285 865,1 285 865
Мальцева Татьяна Викторовна,,,,,,,,,,,1 015 224,1 015 224
Гончаренко Валентина Михайловна,,,,,,,,,,,1 589 323,1 589 323
Ильина Светлана Владимировна,,,,,,,,,,,984 054,984 054
Андриянова Ирина Викторовна,,,,,,,,,,,1 823 045,1 823 045
Дмитренко Людмила Александровна,,,,,,,,,,,756 195,756 195
Нагорная Наталья Юрьевна,,,,,,,,,,,2 197 940,2 197 940
Филатова Светлана Александровна,,,,,,,,,,,961 410,961 410
Луговая Валентина Викторовна,,,,,,,,,,,1 416 709,1 416 709
Татарникова Дарья Михайловна,,,,,,,,,,,768 464,768 464
Зарудный Иван Николаевич,,,,,,,,,,,990 826,990 826
Мерзловский Александр Викторович,,,,,,,,,,,394 061,394 061
Адушкина Ирина Викторовна,,,,,938 000,2 600 000,1 313 000,,1 821 000,2 053 148,2 953 512,11 678 660
Чеканова Лариса Сергеевна,,,,,,,,,,,1 315 814,1 315 814
Мочалова Светлана Вячеславовна,,,,,,,,,,,1 752 870,1 752 870
Смирнова Наталья Геннадьевна,,,,,,,,,,,4 167 297,4 167 297
Бажанов Александр Олегович,,,,,,,1 747 500,1 706 000,2 085 000,2 403 105,2 736 486,10 678 091
Бирмамитов Чарим Галиевич,,,,,,,,,,1 406 984,,1 406 984
Жемухов А.Б. ,,,,,,,,,,843 102,,843 102
Ивазов Аскер Ю.,,,,,,,,,,931 176,,931 176
Бурканов Олег Александрович,,,,,,,,1 189 000,1 552 400,1 437 449,1 864 749,6 043 598
Семенов Хасанбий Мухамедович,,,,,,,,,,1 169 687,,1 169 687
Мисиров Эльдар Жамалович,,,,,,,,,,1 152 684,,1 152 684
Абидов Алим Ахмедович,,,,,,,,,1 505 611,5 076 675,,6 582 286
Шалов Аслан Султанович,,,,,,,,,1 837 990,1 838 883,,3 676 873
Никитин Николай Николаевич,,,,,,,,,2 126 695,2 179 489,,4 306 184
Верюлин Алексей Викторович,,,,,,,,,,,1 345 725,1 345 725
Хожаева Р.Н. ,,,,,,,,,,2 832 788,,2 832 788
Акоева Лариса Савельевна,,,,,,,,,,1 434 816,,1 434 816
Кушхова Л.М. ,,,,,,,,,,660 506,,660 506
Волков Владимир Васильевич,,,,,,,,1 000 700,2 579 000,2 369 793,2 539 140,8 488 634
Давыдов Александр Сергеевич,,,,,,,2 829 200,3 116 300,3 644 500,3 878 342,4 404 672,17 873 014
Бабин Сергей Владимирович,,,,,,,1 667 120,1 893 746,2 430 399,2 645 147,3 021 629,11 658 041
Грачев Артем Вячеславович,,,,,,,3 282 200,1 459 296,1 975 530,2 959 909,2 885 339,12 562 274
Волкова Ольга Владимировна,,,,,,,3 749 910,1 176 253,1 459 589,1 814 485,2 519 565,10 719 801
Иванилова Вера Алексеевна,,,,,,,1 437 050,1 190 594,1 420 338,2 024 451,2 452 134,8 524 567
Колокольчикова Ольга Дмитриевна,,,,,,,,,,,1 456 164,1 456 164
Хрущева Алла Анатольевна,,,,,,,,,,,1 308 880,1 308 880
Петров Сергей Сергеевич,,,,,,,,,,,845 714,845 714
Климов Сергей Петрович,,,,,,,,,,,1 965 541,1 965 541
Казаковцева Ирина Михайловна,,,,,,,,,,,743 038,743 038
Сандер Елена Вячеславовна,,,,,,,,,,,611 222,611 222
Шерстнева Светлана Геннадьевна,,,,,,,,,,,1 365 493,1 365 493
Лузина Оксана Геннадьевна,,,,,,,,,,,1 330 063,1 330 063
Скобкина Светлана Сергеевна,,,,,,,,,,,974 700,974 700
Чайка Ольга Александровна,,,,,,,,,,,1 683 561,1 683 561
Галян Эдуард Борисович,,,,,,,,,,,971 914,971 914
Двойченкова Наталья Владимировна,,,,,,,,,,,123 809,123 809
Гусева Светлана Юрьевна,,,,,,,,,,,674 719,674 719
Маляр Ольга Геннадьевна,,,,,,,,,,,537 308,537 308
Тихонова Ирина Алексеевна,,,,,,,,,,,537 799,537 799
Демьянова Оксана Ивановна,,,,,,,,,,,995 749,995 749
Девлесупова Снежана Анатольевна,,,,,,,,,,,1 712 474,1 712 474
Гостева Любовь Алексеевна,,,,,,,,,,,607 197,607 197
Марочкина Светлана Владимировна,,,,,,,,,,,649 252,649 252
Сидорова Наталья Евгеньевна,,,,,,,,,,,579 149,579 149
Куликова Елена Сергеевна,,,,,,,,,,,1 574 154,1 574 154
Федулова Екатерина Ивановна,,,,,,,,,,,634 825,634 825
Федотенкова Юлия Игоревна,,,,,,,,,,,1 673 868,1 673 868
Ижутова Оксана Леонидовна,,,,,,,,,,,448 470,448 470
Жилкина Ануш Гургеновна,,,,,,,,,,,1 996 069,1 996 069
Звягинцева Марина Петровна,,,,,,,,,,,1 123 780,1 123 780
Серова Елена Владимировна,,,,,,,,,,,514 514,514 514
Сафонов Алексей Борисович,,,,,,,,,,,1 702 168,1 702 168
Будылин Владимир Иванович,,,,,,,,,,,579 004,579 004
Чигаев Алаудин Мухамедович,,,,,,,,,,,15 815 408,15 815 408
Акимов Николай Николаевич,,,,,,,,,,,2 087 654,2 087 654
Румянцев Сергей Валерьевич,,,,,,,,,,,1 563 914,1 563 914
Серегина Ольга Владимировна,,,,,,,,,,,1 160 822,1 160 822
Козуб Марина Николаевна,,,,,,,,,,,680 205,680 205
Бусыгина Любовь Михайловна,,,,,,,,,,,804 978,804 978
Верочкина Лариса Викторовна,,,,,,,,,,,682 747,682 747
Азиханова Наджия Раисовна,,,,,,,,,,,733 765,733 765
Бузункина Ирина Валентиновна,,,,,,,,,,,836 094,836 094
Гуркина Эльвира Валерьевна,,,,,,,,,,,839 091,839 091
Микуленок Ирина Александровна,,,,,,,,,,,669 290,669 290
Игнашина Екатерина Владимировна,,,,,,,,,,,1 249 151,1 249 151
Колчанова Татьяна Павловна,,,,,,,,,,,1 092 219,1 092 219
Попков Дмитрий Валерьевич,,,,,,,,,,,1 038 485,1 038 485
Егорова Юлия Николаевна,,,,,,,,,,,464 373,464 373
Ильичева Елена Александровна,,,,,,,,,,,791 342,791 342
Гришина Мария Николаевна,,,,,,,,,,,734 114,734 114
Халикова Раушания Раисовна,,,,,,,,,,,690 136,690 136
Местоева Х.Х.-У. ,,,,,,,,,1 147 350,,,1 147 350
Афонин Максим Александрович,,,,,,,,,,,1 606 590,1 606 590
Белавари Алексей Александрович,,,,,,,,,,,2 951 632,2 951 632
Ермаков Алексей Викторович,,,,,,,,,,,1 073 922,1 073 922
Лыгина Татьяна Александровна,,,,,,,,,,,1 042 963,1 042 963
Мосина Наталья Геннадьевна,,,,,,,,,,,912 832,912 832
Балабин Евгений Серафимович,,,,,,,,,,,1 092 681,1 092 681
Стовпец Владимир Алексеевич,,,,,,,,,,,602 742,602 742
Атякина Ольга Вячеславовна,,,,,,,,,,,1 196 775,1 196 775
Мальшина Надежда Александровна,,,,,,,,,,,939 276,939 276
Федоренко Владимир Владимирович,,,,,,,,,,,3 292 004,3 292 004
Фирулева Лариса Алексеевна,,,,,,,,,,,1 498 126,1 498 126
Орлова Ирина Геннадьевна,,,,,,,,,,,1 166 916,1 166 916
Брежнева Екатерина Васильевна,,,,,,,,,,,1 523 520,1 523 520
Ходосова Татьяна Владиславовна,,,,,,,,,,,3 245 856,3 245 856
Брижань Наталья Леонидовна,,,,,,,,,,,4 559 036,4 559 036
Козлов Павел Андреевич,,,,,,,,,,,1 158 152,1 158 152
Захаренкова Ольга Николаевна,,,,,,,,,,,1 085 128,1 085 128
Лебедев Игорь Евгеньевич,,,,,,,,,,,815 200,815 200
Королева Светлана Юрьевна,,,,,,,,,,,3 096 663,3 096 663
Ухолов Олег Викторович,,,,,,,,,2 594 000,,,2 594 000
Корнилов Евгений Евгеньевич,,,,,,,,,,,2 750 668,2 750 668
Сахарова Марианна Валентиновна,,,,,,,,,,,1 205 757,1 205 757
Загорский Георгий Карлович,,,,,,,,,,,430 038,430 038
Андрюшина Ирина Алексеевна,,,,,,,,,,,1 982 300,1 982 300
Зверева Наталья Сергеевна,,,,,,,,,,,1 686 500,1 686 500
Свиридова Татьяна Валентиновна,,,,,,,,,,,1 615 000,1 615 000
Пермякова Анна Сергеевна,,,,,,,,,,,2 867 400,2 867 400
Прилепина Елена Александровна,,,,,,,,,,,2 072 700,2 072 700
Токарева Светлана Анатольевна,,,,,,,,,,,1 345 000,1 345 000
Каверина Надежда Александровна,,,,,,,,,,,724 700,724 700
Меркулова Ольга Евгеньевна,,,,,,,,,,,1 244 900,1 244 900
Хиценко Михаил Владимирович,,,,,,,,,,,1 513 000,1 513 000
Игнашин Сергей Алексеевич,,,,,,,,,,,1 253 200,1 253 200
Довгаев Аркадий Тимофеевич,,,,,,,,,,,742 000,742 000
Капцов Павел Васильевич,,,,,,,,,,,2 027 200,2 027 200
Чирин Владимир Юрьевич,,,,,,,,,,,2 454 157,2 454 157
Писчиков Сергей Михайлович,,,,,,,,,,,1 157 960,1 157 960
Евстратова Екатерина Алексеевна,,,,,,,,,,,2 987 514,2 987 514
Дмитриев Андрей Владимирович,,,,,,,,,,,977 761,977 761
Ширнина Лариса Ивановна,,,,,,,,,,,3 000 858,3 000 858
Логинова Юлия Геннадьевна,,,,,,,,,,,2 893 277,2 893 277
Акимова Екатерина Юрьевна,,,,,,,,,,,1 667 322,1 667 322
Горшкова Оксана Сергеевна,,,,,,,,,,,1 911 750,1 911 750
Елфимова Ирина Игоревна,,,,,,,,,,,1 520 811,1 520 811
Давыдова Эльвира Геннадьевна,,,,,,,,,,,1 731 147,1 731 147
Суздалев Иван Сергеевич,,,,,,,,,,,1 975 438,1 975 438
Фоминова Анастасия Сергеевна,,,,,,,,,,,3 079 115,3 079 115
Волков Дмитрий Борисович,,,,,,,,,,,8 126 643,8 126 643
Осипов Дмитрий Владимирович,,,,,,,,,,,2 364 625,2 364 625
Козлова Елена Николаевна,,,,,,,,,,,1 647 658,1 647 658
Губина Татьяна Николаевна,,,,,,,,,,,1 719 049,1 719 049
Самсонова Юлия Игоревна,,,,,,,,,,,2 334 212,2 334 212
Макарова Екатерина Александровна,,,,,,,,,,,2 347 790,2 347 790
Тагиева Анна Давидовна,,,,,,,,,,,2 232 450,2 232 450
Борзикова Светлана Владимировна,,,,,,,,,,,6 865 834,6 865 834
Мокрова Ольга Андреевна,,,,,,,,,,,1 805 496,1 805 496
Скрипник Людмила Анатольевна,,,,,,,,,,,1 713 331,1 713 331
Щербакова Людмила Леонидовна,,,,,,,,,,,3 409 981,3 409 981
Шолохова Светлана Николаевна,,,,,,,,,,,5 070 483,5 070 483
Тихонов Алексей Борисович,,,,,,,,,,,2 811 298,2 811 298
Корнилова Снежанна Павловна,,,,,,,,,,,1 737 036,1 737 036
Крылова Мария Леонидовна,,,,,,,,,,,1 667 626,1 667 626
Тетерев Антон Валерьевич,,,,,,,,,,,1 624 417,1 624 417
Боди Анна Евгеньевна,,,,,,,,,,,1 847 940,1 847 940
Голышева Елена Ивановна,,,,,,,,,,,1 500 000,1 500 000
Чугаева Анастасия Викторовна,,,,,,,,,,,1 018 000,1 018 000
Боронина Наталия Алексеевна,,,,,,,,,,,875 576,875 576
Челмодина Екатерина Николаевна,,,,,,,,,,,2 035 134,2 035 134
Исаенкова Нина Юрьевна,,,,,,,,,,,830 306,830 306
Ухин Андрей Иванович,,,,,,,,,,,1 309 542,1 309 542
Шавлис Ольга Александровна,,,,,,,,,,,1 234 857,1 234 857
Усачева Галина Петровна,,,,,,,,,,,884 800,884 800
Вакутина М.А. ,,,,,,,,,,,896 347,896 347
Ирюпин Алексей Александрович,,,,,,,,,,,1 607 674,1 607 674
Андреева И.А. ,,,,,,,,,,,644 804,644 804
Жучкова Н.Н. ,,,,,,,,,,,1 804 962,1 804 962
Ковалева Н.С. ,,,,,,,,,,,1 102 375,1 102 375
Скачкова Оксана Валерьевна,,,,,,,,,,,583 456,583 456
Чистякова Елена Михайловна,,,,,,,,,,,1 046 689,1 046 689
Камнев Николай Вячеславович,,,,,,,,,,,17 230 550,17 230 550
Сергеев Сергей Геннадьевич,,,,,,,,,,,1 997 970,1 997 970
Слободяник Светлана Николаевна,,,,,,,,,,,2 923 732,2 923 732
Ломтева Татьяна Александровна,,,,,,,,,,,2 288 086,2 288 086
Киселева Ирина Николаевна,,,,,,,,,,,1 459 206,1 459 206
Кондрахина Надежда Владимировна,,,,,,,,,,,1 399 876,1 399 876
Никифоров Иван Александрович,,,,,,,,,,,1 966 142,1 966 142
Смирнова Анастасия Игоревна,,,,,,,,,,,206 358,206 358
Банкратова Юлия Михайловна,,,,,,,,,,,2 540 491,2 540 491
Жуков Михаил Александрович,,,,,,,,,,,1 526 294,1 526 294
Арцыбасова Екатерина Юрьевна,,,,,,,,,,,1 893 262,1 893 262
Трофимова Марина Юрьевна,,,,,,,,,,,1 396 854,1 396 854
Смирнов Андрей Анатольевич,,,,,,,,,,,1 316 534,1 316 534
Будагов Артур Робертович,,,,,,,,,,,1 859 231,1 859 231
Сыраев Константин Анатольевич,,,,,,,,,,,1 296 119,1 296 119
Даниловская Елена Сергеевна,,,,,,,,,,,2 703 040,2 703 040
Царева Марина Геннадьевна,,,,,,,,,,,2 018 362,2 018 362
Сиркина Елена Владимировна,,,,,,,,,,,1 393 875,1 393 875
Яшина Анастасия Валерьевна,,,,,,,,,,,1 269 279,1 269 279
Шляхов Артур Олегович,,,,,,,,,,,1 009 541,1 009 541
Шляхов Олег Евгеньевич,,,,,,,,,,,1 611 365,1 611 365
Знаменский Сергей Константинович,,,,,,,,,,,1 367 292,1 367 292
Куренёва Елена Петровна,,,,,,,,,,,2 100 730,2 100 730
Толочина Юлия Викторовна,,,,,,,,,,,2 350 563,2 350 563
Татаренкова Екатерина Сергеевна,,,,,,,,,,,2 172 460,2 172 460
Данилевский Александр Владимирович,,,,,,,,,,,1 515 782,1 515 782
Курганкина Ольга Владимировна,,,,,,,,,,,891 328,891 328
Тужилкин Владислав Николаевич,,,,,,,,,,,2 303 217,2 303 217
Сницар Валерий Николаевич,,,,,,,,,,,1 202 753,1 202 753
Карпушин Леонид Владимирович,,,,,,,,,,,1 108 800,1 108 800
Александрова Светлана Юрьевна,,,,,,,,,,,1 090 197,1 090 197
Сазонова Лилия Михайловна,,,,,,,,,,,1 488 949,1 488 949
Семиженко Екатерина Игорьевна,,,,,,,,,,,1 204 204,1 204 204
Умаров Магомед С.,,,,,,,,,,1 351 190,,1 351 190
Зюлин Михаил Алексеевич,,,,,,,,,,,1 753 553,1 753 553
Зюзюкин Андрей Николаевич,,,,,,,,,,,1 941 748,1 941 748
Квасов Антон Сергеевич,,,,,,,,,,,1 309 554,1 309 554
Киреев Андрей Борисович,,,,,,,,,,,1 870 925,1 870 925
Кичигин Юрий Иванович,,,,,,,,,,,2 018 103,2 018 103
Кондрашов Павел Петрович,,,,,,,,,,,2 393 880,2 393 880
Вдовина Ольга Александровна,,,,,,,,,,,2 092 499,2 092 499
Овчарова Татьяна Александровна,,,,,,,,,,,1 816 184,1 816 184
Андрюхина Татьяна А.,,,,,,,,,,,1 317 600,1 317 600
Орлова Людмила Николаевна,,,,,,,,,,,1 219 321,1 219 321
Куликова Елена Владимировна,,,,,,,,,,,713 302,713 302
Левый Сергей Дмитриевич,,,,,,,,,,,3 189 566,3 189 566
Стелмак Ольга Вадимовна,,,,,,,,,,,1 676 796,1 676 796
Журавлева Оксана Юрьевна,,,,,,,,,,,1 166 744,1 166 744
Лобова Лариса Альбертовна,,,,,,,,,,,2 823 927,2 823 927
Панфилова Елена Васильевна,,,,,,,,,,,2 216 541,2 216 541
Сосина Галина Михайловна,,,,,,,,,,,2 428 504,2 428 504
Сохацкий Владимир Николаевич,,,,,,,,,,,1 534 501,1 534 501
Спиридонов Игорь Геннадьевич,,,,,,,,,,,2 617 326,2 617 326
Сластенкина Наталья Анатольевна,,,,,,,,,,,1 294 084,1 294 084
Трусов Игорь Викторович,,,,,,,,,,,1 833 858,1 833 858
Долженков Василий Михайлович,,,,,,,,,,,2 475 051,2 475 051
Тараканова Татьяна Юрьевна,,,,,,,,,,,3 952 715,3 952 715
Прокопович Нина Владимировна,,,,,,,,,,,1 236 851,1 236 851
Кондратьева Наталья Владимировна,,,,,,,,,,,7 281 605,7 281 605
Кофман Ольга Леонидовна,,,,,,,,,,,2 354 628,2 354 628
Начиненный Тимур Владимирович,,,,,,,,,,,1 511 395,1 511 395
Козина Олеся Владимировна,,,,,,,,,,,4 006 680,4 006 680
Верхошанская Светлана Александровна,,,,,,,,,,,2 204 909,2 204 909
Ветрова Наталья Алексеевна,,,,,,,,,,,1 570 683,1 570 683
Мизенин Александр Валерьевич,,,,,,,,,,,1 285 544,1 285 544
Филина Александра Владимировна,,,,,,,,,,,1 227 636,1 227 636
Гладченко Светлана Александровна,,,,,,,,,,,1 611 941,1 611 941
Залевская Анастасия Георгиевна,,,,,,,,,,,2 279 024,2 279 024
Власова Светлана Юрьевна,,,,,,,,,,,2 625 690,2 625 690
Гущина Елизавета Евгеньевна,,,,,,,,,,,1 182 820,1 182 820
Савин Александр Анатольевич,,,,,,,,,,,2 957 407,2 957 407
Костина Юлия Александровна,,,,,,,,,,,2 208 282,2 208 282
Французова Татьяна Юрьевна,,,,,,,,,,,2 951 563,2 951 563
Игнатова Инна Вячеславовна,,,,,,,,,,,1 842 563,1 842 563
Конторщиков Максим Алексеевич,,,,,,,,,,,1 454 392,1 454 392
Сергеева Эльвира Юрьевна,,,,,,,,,,,1 164 566,1 164 566
Свиридова Наталья Владимировна,,,,,,,,,,,1 435 074,1 435 074
Попова Ирина Сергеевна,,,,,,,,,,,1 663 866,1 663 866
Пензина Раиса Федоровна,,,,,,,,,,,1 326 887,1 326 887
Кондратова Татьяна Ивановна,,,,,,,,,,,1 031 638,1 031 638
Колесникова Ольга Ивановна,,,,,,,,,,,3 583 568,3 583 568
Ким Татьяна Федоровна,,,,,,,,,,,2 183 513,2 183 513
Голянская Наталья Георгиевна,,,,,,,,,,,2 956 746,2 956 746
Аверина Светлана Владимировна,,,,,,,,,,,2 568 797,2 568 797
Даренкова Антонина Ионасовна,,,,,,,,,,,1 995 768,1 995 768
Чернышев Николай Геннадьевич,,,,,,,,,,,1 961 331,1 961 331
Солдатова Елена Владимировна,,,,,,,,,,,1 166 902,1 166 902
Баканов Сергей Сергеевич,,,,,,,,,,,3 126 162,3 126 162
Володарец Александр Григорьевич,,,,,,,,,,,963 087,963 087
Зайцева Ирина Олеговна,,,,,,,,,,,1 512 892,1 512 892
Гуреева Валентина Александровна,,,,,,,,,,,1 075 483,1 075 483
Дерюгин Андрей Викторович,,,,,,,,,,,1 072 518,1 072 518
Даренкова Оксана Евгеньевна,,,,,,,,,,,762 329,762 329
Карташова Наталья Владимировна,,,,,,,,,,,1 593 316,1 593 316
Наумов Андрей Александрович,,,,,,,,,,,1 320 320,1 320 320
Захарова Татьяна Петровна,,,,,,,,,,,2 099 589,2 099 589
Асауляк Олег Владимирович,,,,,,,,,,,1 982 170,1 982 170
Чугунова Елена Ильинична,,,,,,,,,,,1 370 247,1 370 247
Хижнякова Дина Алексеевна,,,,,,,,,,,826 358,826 358
Талдыкина Анастасия Игоревна,,,,,,,,,,,849 734,849 734
Чугунов Игорь Юрьевич,,,,,,,,,,,822 702,822 702
Беляев Максим Александрович,,,,,,,,,,,1 090 555,1 090 555
Амелин Сергей Александрович,,,,,,,,,,,1 246 110,1 246 110
Стражникова Юлия Игоревна,,,,,,,,,,,1 499 994,1 499 994
Беликова Наталья Алексеевна,,,,,,,,,,,498 049,498 049
Кривова Светлана Валентиновна,,,,,,,,,,,2 168 938,2 168 938
Савченко Евгений Владимирович,,,,,,,,,,,1 879 467,1 879 467
Кириленко Ольга Ивановна,,,,,,,,,,,896 244,896 244
Карпушина Алена Евгеньевна,,,,,,,,,,,1 413 901,1 413 901
Беленко Александр Витальевич,,,,,,,,,,,11 750 556,11 750 556
Чаусова Елена Ивановна,,,,,,,,,,,1 148 397,1 148 397
Митрофанов Олег Алексеевич,,,,,,,,,,,1 128 746,1 128 746
Пестроухова Юлия Владимировна,,,,,,,,,,,3 463 880,3 463 880
Жукова Елена Вадимовна,,,,,,,,,,,1 137 803,1 137 803
Янковская Елена Владимировна,,,,,,,,,,,1 963 044,1 963 044
Каретников Федор Юрьевич,,,,,,,,,,,913 609,913 609
