Person,1998,1999,2006,2008,2009,2010,2011,2012,2013,2014,2015,Total
Валенчук Олег Дорианович,,,775 050,,1 958 596,3 925 724,2 082 455,1 999 939,3 977 235,12 142 888,4 895 154,31 757 042
Варшавский Вадим Евгеньевич,,,1 739 264,,3 958 676,3 899 952,,,,,,9 597 893
Васильев Владимир Абдуалиевич,,,1 207 264,,2 233 057,4 601 901,2 044 598,2 727 818,3 332 074,5 563 384,5 959 293,27 669 389
Михалев Борис Владимирович,,,829 987,,,4 713 461,2 419 103,3 249 505,4 028 313,4 641 010,5 597 631,25 479 009
Морозов Олег Викторович,138 509,,1 637 864,,,18 422 325,6 335 827,20 459 626,91 501 341,,9 559 655,148 055 147
Мукабенова Марина Алексеевна,,,177 692,,,3 923 680,1 948 963,2 007 050,2 477 235,6 382 888,4 735 560,21 653 068
Мурзабаева Салия Шарифьяновна,,,516 284,,,4 643 901,2 782 409,3 137 956,13 283 495,5 525 482,6 820 972,36 710 498
Мусалимов Николай Николаевич,,,605 645,,,4 066 216,,,,3 124 629,5 860 430,13 656 919
Муслимов Ильяз Булатович,,,974 074,,,23 602 691,,,,,,24 576 765
Муцоев Зелимхан Аликоевич,,,41 302 264,,,3 909 481,,1 975 743,2 477 235,3 882 888,4 735 560,58 283 171
Неверов Сергей Иванович,,,1 418 394,,,4 452 885,2 018 194,12 581 006,8 577 554,7 984 941,44 211 869,81 244 844
Нефедов Виктор Леонидович,,,1 207 264,,,4 323 884,,,,,,5 531 148
Осипов Вячеслав Константинович,,,1 392 306,,,4 320 602,2 434 466,,,,,8 147 374
Панина Елена Владимировна,,,1 428 552,,,5 134 043,3 446 545,162 038 593,173 114 874,29 324 800,22 900 377,397 387 784
Панков Николай Васильевич,,,456 900,,,14 128 740,3 896 507,3 377 498,4 583 124,6 084 380,7 714 864,40 242 013
Панов Валерий Викторович,,,1 296 974,,,4 327 474,,,,,,5 624 448
Пекпеев Сергей Тимурович,,,1 209 355,,,3 999 196,,,,,,5 208 551
Пепеляева Лиана Витальевна,,,1 207 264,,,3 989 485,,2 876 758,,,,8 073 506
